doc_id,summary,search_summary,issue_main,issue_sub,keywords,tone,people,organizations,locations,document_category,policy_status,speech_intent,confidence,date,source_type,source,title,document_type,model,tagged_at
NEWS_00001,市長蔣萬安主持公安會報，強調公共安全優先，針對沉浸式體驗及火災事件加強稽查與防災措施，推動建築外牆安全及八大行業聯合稽查，確保市民安全。,蔣萬安主持公安會報，強化公共安全措施。,公共安全,"[""公安"", ""消防"", ""防災"", ""工安"", ""勞檢"", ""建築安全""]","[""公共安全"", ""沉浸式體驗"", ""消防"", ""稽查"", ""外牆安全""]",正向,"[""蔣萬安""]","[""臺北市政府"", ""消防局"", ""勞檢處"", ""建管處"", ""商業處""]","[""臺北市"", ""南港區"", ""內湖區""]",危機回應,持續辦理,呼籲,0.95,2026-06-24,市長新聞稿,臺北市政府市長新聞稿,主持公安會報 蔣萬安：市府鼓勵創新產業發展 公共安全仍是首要原則,public_statement,gpt-4.1-mini,2026-06-25T10:55:23
NEWS_00002,臺北市長蔣萬安出席警廉論壇，感謝警察與政風同仁守護治安並強調堅守法紀、廉能自恃，維持臺北市安全並持續推動執法。,蔣萬安出席警廉論壇，強調堅守法紀與治安。,公共安全,"[""治安"", ""廉能治理"", ""公安"", ""犯罪打擊"", ""行政公信力""]","[""警廉同心"", ""治安安全"", ""廉能治理"", ""執法強力"", ""李光耀城市獎""]",正向,"[""蔣萬安""]","[""臺北市政府"", ""警察同仁"", ""政風同仁"", ""檢察官""]","[""臺北市"", ""新加坡""]",活動出席,不適用,感謝,0.95,2026-06-24,市長新聞稿,臺北市政府市長新聞稿,出席「警廉同心．榮耀傳承」跨域高峰論壇 蔣萬安：堅守法紀 廉能自恃,public_statement,gpt-4.1-mini,2026-06-25T10:55:28
NEWS_00003,臺北市長蔣萬安出席模範公務人員表揚典禮，肯定市府團隊努力，並宣示推動AI助理及彈性上下班制度，提升行政效率。,蔣萬安出席表揚典禮，宣示市府改革。,市政管理,"[""公務員"", ""市政"", ""行政效率"", ""AI治理"", ""青年"", ""國際交流""]","[""公務人員表揚"", ""彈性上下班"", ""AI助理"", ""國際獎項"", ""青年政策""]",正向,"[""蔣萬安"", ""楊鎮鴻"", ""蔡景耀"", ""范乾峯"", ""張哲豪""]","[""臺北市政府"", ""教育局"", ""臺北市立聯合醫院"", ""地政局"", ""產業發展局"", ""資訊局"", ""輝達（NVIDIA）""]","[""臺北市"", ""新加坡"", ""北士科"", ""馬祖""]",活動出席,不適用,表揚,0.95,2026-06-23,市長新聞稿,臺北市政府市長新聞稿,出席臺北市模範公務人員暨優秀青年公務人員表揚典禮 蔣萬安：榮耀屬於所有市府同仁,public_statement,gpt-4.1-mini,2026-06-25T10:55:32
NEWS_00004,臺北市長蔣萬安宣布敬老卡點數調升至600點與擴大使用，並於今年9月發放重陽敬老禮金，持續提升敬老福利與高齡照護服務。,蔣萬安宣布敬老卡升級與重陽敬老禮金發放。,社會福利,"[""敬老福利"", ""敬老卡"", ""老人照護"", ""社會救助"", ""醫療""]","[""敬老卡"", ""重陽禮金"", ""長者照護"", ""高齡友善"", ""健康篩檢""]",正向,"[""蔣萬安""]","[""臺北市政府"", ""臺北市立聯合醫院""]","[""臺北市""]",政策宣布,推動中,宣布,0.95,2026-06-22,市長新聞稿,臺北市政府市長新聞稿,蔣萬安宣布敬老福利再升級 敬老卡600點7月上路、重陽禮金9月發放,public_statement,gpt-4.1-mini,2026-06-25T10:55:36
NEWS_00005,臺北市長蔣萬安出席114學年度國小畢業生市長獎頒獎，勉勵學生懷抱熱情與感恩，強調聰明與善良的重要性。,蔣萬安頒獎勉勵畢業生，強調聰明與善良。,教育,"[""校園"", ""學生"", ""畢業典禮"", ""教師"", ""教育政策""]","[""市長獎"", ""蔣萬安"", ""畢業生"", ""感恩"", ""勉勵""]",正向,"[""蔣萬安""]","[""臺北市政府""]","[""臺北市""]",活動出席,不適用,祝賀,0.95,2026-06-21,市長新聞稿,臺北市政府市長新聞稿,頒發114學年度公私立國民小學畢業生市長獎 蔣萬安：「聰明是一種天賦，善良是一種選擇。」,public_statement,gpt-4.1-mini,2026-06-25T10:55:40
NEWS_00006,臺北市長蔣萬安出席2026臺北國際龍舟錦標賽開幕，強調賽事擴大參與及多元文化交流，並獲國際雙金獎肯定。,2026臺北龍舟賽開幕，多元交流與國際獎項。,文化觀光,"[""龍舟"", ""節慶"", ""活動"", ""國際交流"", ""多元文化""]","[""龍舟錦標賽"", ""蔣萬安"", ""國際交流"", ""文化推廣"", ""多元參與""]",正向,"[""蔣萬安"", ""浦樂施"", ""司徒安"", ""谷立言"", ""谷力哲"", ""馮國斌"", ""包瓊郁""]","[""臺北市政府"", ""旭源人龍舟隊"", ""南港高中"", ""真理大學"", ""彩虹重擊龍舟隊"", ""SBeauty龍舟隊"", ""荷蘭在台辦事處"", ""英國在台辦事處"", ""美國在台協會"", ""歐洲經貿辦事處"", ""澳洲駐台代表處""]","[""臺北市"", ""南港"", ""荷蘭"", ""英國"", ""美國"", ""澳洲"", ""歐洲""]",活動出席,不適用,祝賀,0.95,2026-06-19,市長新聞稿,臺北市政府市長新聞稿,2026臺北國際龍舟錦標賽開幕 蔣萬安：讓在地傳統文化站上世界舞臺,public_statement,gpt-4.1-mini,2026-06-25T10:55:45
NEWS_00007,臺北市長蔣萬安宣布信維整宅公辦都更案下月公告招商，期盼改善居住環境並納入多項公共服務設施。,蔣萬安宣布信維整宅招商及端午祝福,都市發展,"[""信維整宅"", ""都更"", ""招商"", ""都市更新"", ""公共建設""]","[""信維整宅"", ""公辦都更"", ""招商"", ""蔣萬安"", ""都市更新""]",正向,"[""蔣萬安""]","[""臺北市政府"", ""都發局"", ""更新處"", ""住都中心""]","[""大安區"", ""臺北市""]",政策宣布,規劃中,宣布,0.95,2026-06-18,市長新聞稿,臺北市政府市長新聞稿,信維整宅下月公告招商！蔣萬安拜訪居民送端午祝福,public_statement,gpt-4.1-mini,2026-06-25T10:56:09
NEWS_00008,臺北市長蔣萬安參訪新加坡國家體育場，交流大巨蛋營運經驗與國際活動引進，並分享爭取泰勒絲演唱會經驗，促進雙城場館合作與城市觀光。,蔣萬安赴新加坡參訪國家體育場交流經驗,體育,"[""大巨蛋"", ""體育賽事"", ""演唱會經濟"", ""城市觀光"", ""國際交流""]","[""大巨蛋"", ""新加坡國家體育場"", ""演唱會"", ""泰勒絲"", ""場館營運""]",正向,"[""蔣萬安"", ""郭瑞光"", ""Quek Swee Kuan"", ""泰勒絲""]","[""臺北市政府"", ""加冷集團"", ""Kallang Group""]","[""臺北"", ""新加坡"", ""新加坡國家體育場""]",國際交流,不適用,交流,0.95,2026-06-17,市長新聞稿,臺北市政府市長新聞稿,為大巨蛋取經！蔣萬安參訪新加坡國家體育場 星國分享爭取泰勒絲經驗,public_statement,gpt-4.1-mini,2026-06-25T10:56:15
NEWS_00009,蔣萬安市長赴新加坡榜鵝數位園區考察智慧城市規劃，與馬炎慶市長交流城市治理與文化青年合作，促進雙方友好合作。,蔣萬安訪榜鵝園區考察智慧城市與新加坡交流。,數位治理,"[""智慧城市"", ""數位治理"", ""都市發展"", ""國際交流"", ""交通"", ""文化觀光""]","[""智慧城市"", ""數位治理"", ""國際交流"", ""榜鵝數位園區"", ""城市治理""]",正向,"[""蔣萬安"", ""馬炎慶""]","[""臺北市政府"", ""新加坡貿易與工業部"", ""裕廊集團"", ""新加坡理工大學"", ""新加坡交通部"", ""文化、社區及青年部""]","[""臺北市"", ""新加坡"", ""榜鵝數位園區"", ""東北區""]",國際交流,不適用,交流,0.95,2026-06-16,市長新聞稿,臺北市政府市長新聞稿,參訪榜鵝數位園區 東北區馬炎慶市長陪同蔣萬安考察智慧城市規劃,public_statement,gpt-4.1-mini,2026-06-25T10:56:19
NEWS_00010,臺北市長蔣萬安與新加坡西北區市長任梓銘以肉骨茶早餐會交流城市治理、智慧城市與AI應用，深化兩市國際合作。,蔣萬安與任梓銘早餐會深化城市治理交流,國際交流,"[""新加坡"", ""城市治理"", ""智慧城市"", ""AI應用"", ""人本交通""]","[""國際交流"", ""智慧城市"", ""AI"", ""肉骨茶"", ""城市治理""]",正向,"[""蔣萬安"", ""任梓銘""]","[""臺北市政府"", ""新加坡西北區政府""]","[""臺北市"", ""新加坡""]",國際交流,不適用,交流,0.95,2026-06-16,市長新聞稿,臺北市政府市長新聞稿,肉骨茶早餐敘舊 蔣萬安與新加坡西北區市長任梓銘深化城市治理交流,public_statement,gpt-4.1-mini,2026-06-25T10:56:23
